Date,Stock,Price
2024-06-14T00:00:00,ACB,24.6
2024-06-14T00:00:00,FPT,131
2024-06-14T00:00:00,HDB,23.95
2024-06-14T00:00:00,HPG,29.1
2024-06-14T00:00:00,MBB,23.1
2024-06-14T00:00:00,MSN,78
2024-06-14T00:00:00,MWG,63
2024-06-14T00:00:00,POW,13.75
2024-06-14T00:00:00,SHB,11.7
2024-06-14T00:00:00,STB,30.55
2024-06-14T00:00:00,TCB,24.55
2024-06-14T00:00:00,TPB,18.14645
2024-06-14T00:00:00,VHM,38.2
2024-06-14T00:00:00,VIB,22.5
2024-06-14T00:00:00,VIC,42
2024-06-14T00:00:00,VNM,66.2
2024-06-14T00:00:00,VPB,18.7
2024-06-14T00:00:00,VRE,21.45
2024-06-13T00:00:00,VN30,1333.85
2024-06-13T00:00:00,ACB,24.8
2024-06-13T00:00:00,FPT,130
2024-06-13T00:00:00,HDB,24.1
2024-06-13T00:00:00,HPG,29.5
2024-06-13T00:00:00,MBB,23.55
2024-06-13T00:00:00,MSN,78.6
2024-06-13T00:00:00,MWG,64
2024-06-13T00:00:00,POW,14.15
2024-06-13T00:00:00,SHB,12
2024-06-13T00:00:00,STB,31.65
2024-06-13T00:00:00,TCB,24.7
2024-06-13T00:00:00,TPB,18.487
2024-06-13T00:00:00,VHM,38.25
2024-06-13T00:00:00,VIB,22.9
2024-06-13T00:00:00,VIC,43.2
2024-06-13T00:00:00,VNM,66.9
2024-06-13T00:00:00,VPB,19.45
2024-06-13T00:00:00,VRE,21.7
2024-06-12T00:00:00,VN30,1331.81
2024-06-12T00:00:00,ACB,24.55
2024-06-12T00:00:00,FPT,132
2024-06-12T00:00:00,HDB,24
2024-06-12T00:00:00,HPG,29.6
2024-06-12T00:00:00,MBB,23.1
2024-06-12T00:00:00,MSN,77.8
2024-06-12T00:00:00,MWG,63.4
2024-06-12T00:00:00,POW,14
2024-06-12T00:00:00,SHB,11.8
2024-06-12T00:00:00,STB,31.35
2024-06-12T00:00:00,TCB,24.7
2024-06-12T00:00:00,TPB,17.95185
2024-06-12T00:00:00,VHM,38.5
2024-06-12T00:00:00,VIB,22.95
2024-06-12T00:00:00,VIC,43.3
2024-06-12T00:00:00,VNM,67
2024-06-12T00:00:00,VPB,19.4
2024-06-12T00:00:00,VRE,21.85
2024-06-11T00:00:00,VN30,1308.3
2024-06-11T00:00:00,ACB,24.15
2024-06-11T00:00:00,FPT,126.5174
2024-06-11T00:00:00,HDB,23.55
2024-06-11T00:00:00,HPG,29.1
2024-06-11T00:00:00,MBB,22.55
2024-06-11T00:00:00,MSN,75.8
2024-06-11T00:00:00,MWG,62.3
2024-06-11T00:00:00,POW,14.15
2024-06-11T00:00:00,SHB,11.65
2024-06-11T00:00:00,STB,31.2
2024-06-11T00:00:00,TCB,24.675
2024-06-11T00:00:00,TPB,17.7086
2024-06-11T00:00:00,VHM,38.15
2024-06-11T00:00:00,VIB,22.9
2024-06-11T00:00:00,VIC,43.2
2024-06-11T00:00:00,VNM,66.5
2024-06-11T00:00:00,VPB,18.3
2024-06-11T00:00:00,VRE,21.7
2024-06-10T00:00:00,VN30,1311.1
2024-06-10T00:00:00,ACB,24.4
2024-06-10T00:00:00,FPT,124.3584
2024-06-10T00:00:00,HDB,23.9
2024-06-10T00:00:00,HPG,29.3
2024-06-10T00:00:00,MBB,22.65
2024-06-10T00:00:00,MSN,77.1
2024-06-10T00:00:00,MWG,63
2024-06-10T00:00:00,POW,13.65
2024-06-10T00:00:00,SHB,11.75
2024-06-10T00:00:00,STB,31.1
