VN30,ACB,FPT,HDB,HPG,MBB,MSN,MWG,POW,SHB,STB,TCB,TPB,VHM,VIB,VIC,VNM,VPB,VRE
"1,107.16",18.732,80.83296,18.5,25.00025,17.66012,62.2,39.95,11.55,11.1,28.2,14.64398,16.7356,41.3,18.07772256,42.95,67.41675674,18.51525,23
"1,090.39",18.438,79.79664,18.2,24.45479,17.41552,61.5,38.75,11.3,10.85,27.5,14.425775,16.6383,40.9,17.88892128,42.1,67.02479885,18.32535,22.8
"1,081.70",18.438,79.36484,18,24.136605,17.41552,60.5,38.5,11.25,10.8,27.5,14.30455,16.541,41.3,17.65291968,41.75,66.04490413,18.13545,22.1
"1,093.16",18.522,79.19212,18.05,24.5457,17.46444,62.9,38.8,11.3,10.85,27.8,14.49851,16.39505,41.2,17.74732032,42.55,67.02479885,18.277875,23.2
"1,088.51",18.396,78.67396,18.05,24.27297,17.46444,61.3,38,11.3,10.85,28.15,14.522755,16.29775,40.75,17.65291968,42.4,67.12278832,18.372825,22.8
"1,078.42",18.354,78.32852,18.1,23.90933,17.21984,60.9,38,11.3,10.75,27.4,14.20757,16.20045,39.8,17.41691808,41.85,66.73083043,18.2304,22.6
"1,087.34",18.522,78.76032,18.3,24.00024,17.46444,61.8,38.55,11.4,10.95,28.3,14.571245,16.541,39.1,17.74732032,41.35,66.92680938,18.2304,22.6
"1,082.68",18.648,78.41488,18.05,23.500235,17.51336,63.3,37.3,11.45,10.95,28.2,14.74096,16.541,39,17.74732032,41.3,67.31876726,18.182925,22.6
"1,109.80",19.068,80.3148,18.6,24.72752,17.66012,64.9,39.8,11.65,11.3,29.1,15.007655,16.6383,39,18.12492288,42,68.00469357,18.657675,22.8
"1,108.60",18.984,79.36484,18.7,24.591155,17.70904,64.6,40.9,11.7,11.25,29.3,14.93492,16.58965,39.1,17.98332192,42.6,68.10268304,18.657675,22.6
"1,102.85",18.9,78.32852,18.7,24.227515,17.6112,63.6,40.55,11.65,11.2,29.2,15.0319,16.7356,38.95,17.9361216,42.7,67.9067041,18.51525,22.55
"1,103.53",19.068,78.5876,18.5,24.09115,17.80688,64.1,41.4,11.65,11.2,29.35,15.104635,16.541,38.95,18.07772256,42.2,68.5926304,18.32535,22.8
"1,132.60",19.572,80.3148,18.95,24.72752,18.1004,66,41.5,11.85,11.6,30.2,15.37133,17.0275,41.15,18.50252544,45.1,68.88659882,18.89505,23.85
"1,131.90",19.53,79.79664,18.9,24.5457,18.14932,65.8,41.9,11.75,11.55,30,15.298595,17.2221,41.45,18.54972576,45.4,69.2785567,18.942525,24.1
"1,119.28",19.068,79.96936,18.75,24.5457,18.05148,62.6,41.5,11.85,11.45,30,15.27435,16.9302,41,18.50252544,44.95,67.51474621,18.6102,24
"1,106.72",18.858,78.93304,18.8,24.72752,17.70904,62,40,11.9,11.05,29.25,14.98341,16.78425,41.35,18.12492288,44.8,67.31876726,18.2304,23.5
"1,109.05",18.816,79.0194,18.85,24.09115,17.6112,61.7,39.4,11.7,11.15,29.5,15.056145,16.541,42.3,17.9361216,44.95,68.20067251,18.562725,23.95
"1,122.95",18.942,79.883,18.75,24.27297,17.95364,62.8,40.3,11.55,11.25,29.65,15.27435,16.6383,42.9,18.21932352,45.4,69.2785567,18.99,24.3
"1,129.95",19.152,79.96936,18.8,24.500245,17.95364,63.8,39.6,11.5,11.35,30,15.41982,16.78425,41,18.31372416,43,69.96448301,19.32310359,23.7
"1,092.71",18.564,76.25588,18,23.45478,17.41552,62,38.2,11.15,10.85,29,14.83794,16.10315,40,17.65291968,42.05,69.37654618,18.73481238,23.15
"1,103.52",18.648,76.4286,18.25,23.409325,17.56228,64,38.05,11.25,11,29.45,15.0319,16.1518,41,17.84172096,42.1,69.57252512,18.82531872,24
"1,086.19",18.522,75.1332,18.35,22.81841,17.02416,63.9,38.95,11.1,10.7,28.5,15.0319,15.61665,40.5,17.55851904,41.6,68.5926304,17.92025532,24.4
"1,087.50",18.732,76.8604,17.6,22.954775,17.31768,62.7,37,11.1,10.9,29,14.231815,15.9572,39.95,17.51131872,41.45,69.47453565,18.37278702,23.25
"1,051.65",18.144,73.75144,17.25,21.772945,16.82848,59.5,35.1,10.7,10.35,27.65,13.67418,15.3734,38.45,16.9921152,40.4,68.98458829,17.92025532,22.7
"1,039.38",17.976,71.6788,17.2,20.9093,16.73064,58.2,37.7,10.6,10.1,27,13.43173,15.3734,39,16.89771456,40.5,66.63284096,18.101268,22.2
"1,047.63",17.892,73.406,17.2,20.9093,16.6328,58,40.5,10.85,10.15,27,13.62569,15.568,39.2,16.61451264,41.5,66.24088307,18.01076166,23.1
"1,067.57",18.102,75.1332,17.25,21.227485,17.07308,57.8,42,11,10.3,28.7,14.328795,15.7626,39.2,17.08651584,41.6,66.63284096,18.28228068,22.9
"1,064.95",17.724,74.96048,17,20.72748,16.82848,61.4,42,10.8,10.05,28.1,14.45002,15.568,41.8,16.37851104,41.6,65.65294624,18.28228068,24.6
"1,113.32",18.396,78.50124,17.5,21.863855,17.41552,66,43.5,11.2,10.55,29.55,15.12888,16.29775,44.9,17.27531712,44.7,67.61273568,19.0063314,26.45
"1,117.12",18.396,79.4512,17.55,21.8184,17.51336,66.9,43,11.2,10.6,30,15.201615,16.3464,44.6,17.4641184,43.45,68.88659882,19.05158457,26.6
"1,106.85",18.312,78.5876,17.5,21.8184,17.41552,66,43,11.05,10.3,29.7,14.98341,16.00585,44.5,17.03931552,43.4,68.78860934,19.05158457,26
"1,123.69",18.396,80.22844,17.75,22.136585,17.56228,69,44.7,11.2,10.45,30.1,15.08039,16.0545,44.5,17.32251744,43.35,70.84638826,19.54936944,26.6
"1,104.89",18.312,79.4512,17.5,21.54567,17.26876,66.4,43,11.05,10.3,29,14.862185,15.71395,42.5,17.2281168,43.2,69.96448301,19.41360993,26.4
"1,125.56",18.522,80.3148,17.55,21.8184,17.3666,68.3,44.7,11.25,10.4,29.7,15.153125,15.81125,43.3,17.41691808,43.8,72.41421981,20.3639265,26.5
"1,141.03",18.858,80.40116,17.55,22.54568,17.70904,71,46.3,11.25,10.6,30,15.395575,16.0545,44.5,17.60571936,44,73.29612506,20.54493918,27
"1,153.21",18.984,83.59648,17.4,22.7275,17.80688,71.6,48.6,11.35,10.6,30.2,15.41982,16.3464,45.55,17.79452064,45,73.68808294,20.3639265,26.7
"1,166.66",19.026,82.99196,17.6,23.409325,18.05148,72.7,49.5,11.4,10.8,31.5,15.61378,16.78425,46.9,18.26652384,46.1,74.27601978,19.86614163,27.35
"1,165.49",19.068,83.25104,17.5,23.45478,17.95364,73.1,48.4,11.45,10.85,31.6,15.75925,16.7356,47.55,18.54972576,46.5,73.98205136,19.77563529,27.2
"1,167.29",19.068,83.7692,17.6,23.81842,18.1004,73.8,49.3,11.5,10.9,31.75,15.80774,16.29775,47.4,18.50252544,45.45,72.90416717,19.73038212,27
"1,160.28",19.152,83.16468,17.4,23.6366,18.05148,73.2,48.85,11.45,10.85,31.25,15.75925,16.29775,48,18.31372416,44.9,72.90416717,19.54936944,27
"1,150.37",18.9,82.56016,17.05,23.18205,17.90472,73.5,47.95,11.2,10.75,31.2,15.56529,16.39505,47,17.88892128,45.2,72.21824086,19.36835676,27.05
"1,139.78",18.312,80.05572,17.1,22.682045,17.75796,72.7,48.3,11.2,10.7,30.95,15.541045,16.3464,46.05,17.65291968,45.95,72.70818822,18.96107823,27.45
"1,124.48",18.144,79.10576,16.95,22.63659,17.66012,72.8,47,10.9,10.5,29.9,15.41982,16.10315,44.55,17.4641184,45.6,71.23834614,18.82531872,26.8
"1,138.54",18.144,79.883,17.1,22.954775,17.75796,73.5,49.2,11.25,10.65,30.2,15.638025,16.1518,44.6,17.84172096,46.1,72.90416717,19.0063314,27
"1,130.89",18.144,79.62392,17.1,22.54568,17.66012,74,49,11.2,10.55,29.2,15.75925,16.2491,44.05,17.74732032,44.5,72.51220928,19.0063314,26.3
"1,167.13",18.396,80.48752,17.1,23.81842,18.19824,77.4,51.9,11.75,11.05,30.85,16.074435,17.0275,45.75,18.36092448,46.9,74.08004083,19.73038212,26.85
"1,166.26",18.354,80.14208,17.35,23.90933,18.1004,76.3,52.6,11.6,11.1,30.65,16.316885,17.36805,45.5,18.26652384,46.85,72.70818822,19.63987578,26.1
"1,164.45",18.27,81.1784,17.3,24.18206,18.1004,76.5,53,11.5,10.95,30.75,16.316885,17.56265,44.5,18.26652384,45,73.29612506,19.18734408,25.45
"1,168.60",18.48,81.43748,17.4,24.09115,18.1004,76,52,11.75,11.1,31.8,15.80774,17.3194,45.1,18.45532512,45.2,75.05993555,19.0063314,26.1
"1,153.37",18.396,80.7466,17.4,23.81842,17.8558,73,51.5,11.65,10.8,31.35,15.71076,17.2221,45,18.1721232,45,74.56998819,18.50854653,25.8
"1,159.94",18.48,81.43748,17.4,23.6366,17.70904,70.3,51,11.8,11,31.65,15.90472,17.514,47,17.98332192,46.5,76.03983027,18.46329336,26.6
"1,197.69",18.732,83.51012,17.55,24.81843,18.29608,75.4,52.1,12.3,11.8,32.9,16.4866,18.04915,48,19.16332992,50,75.9418408,19.23259725,27.4
"1,219.19",18.816,83.59648,17.55,25.81844,18.54068,78.8,54.2,12.7,12.05,32.35,16.63207,18.53565,50.2,19.49373216,52.2,76.43178816,19.59462261,28.15
"1,234.57",18.858,85.0646,17.85,25.81844,18.78528,79.7,55.8,12.8,12.2,33.25,16.656315,18.9735,50.7,19.8241344,53.5,76.72575658,19.82088846,28.1
"1,225.50",18.732,84.97824,17.7,25.591165,18.5896,79,55.5,12.75,12.05,33.3,16.43811,18.53565,49.35,19.54093248,51.7,77.31369341,19.82088846,27.6
"1,223.70",18.858,83.68284,17.6,25.09116,18.73636,78.5,55,12.65,12.1,32.6,16.53509,18.43835,48.95,19.77693408,53,77.31369341,20.04715431,27.7
"1,238.81",19.026,84.201,18,25.09116,18.98096,79.7,55.9,12.75,12.2,32.5,16.92301,18.6816,50.5,20.34333792,53.6,77.90163024,20.40917967,28.4
"1,234.06",18.858,82.81924,17.5,25.27298,18.73636,78.6,57.3,12.75,12.3,31.8,16.92301,18.487,49,20.48493888,55.5,77.80364077,20.27342016,28.9
"1,247.95",18.942,84.6328,17.45,25.81844,18.63852,80.1,57.5,12.95,12.35,31.95,16.9715,18.73025,52.1,19.8241344,59.2,77.50967235,20.31867333,29
"1,255.83",19.11,85.41004,17.4,26.136625,18.8342,81,55.8,12.9,12.55,32.35,17.11697,18.6816,53.5,19.25773056,60.3,78.68554602,20.18291382,29.5
"1,230.71",18.774,84.11464,17.1,25.4548,18.345,79.6,54.5,12.7,12.3,31.6,16.753295,18.43835,52.5,19.06892928,59.1,77.90163024,19.82088846,28.7
"1,249.14",19.11,84.28736,17.35,26.136625,18.68744,81.8,55.5,12.85,12.7,32.5,17.141215,18.8762,54,19.44653184,59.1,78.3915776,19.73038212,29.6
"1,255.22",19.236,84.54644,17.3,26.045715,18.88312,82,55,12.9,12.75,33,17.335175,19.11945,55.1,19.54093248,60.8,77.90163024,19.68512895,30.3
"1,260.03",19.278,85.4964,17.2,26.3639,18.8342,82.7,55,13,12.65,33.05,17.06848,19.21675,55.9,19.49373216,61.6,78.3915776,19.73038212,30.3
"1,244.64",19.11,83.59648,17.1,25.27298,18.73636,81.5,54.3,13,12.65,32.7,16.9715,19.11945,55.3,19.44653184,62.3,78.48956707,19.0063314,30.15
"1,234.53",18.984,83.51012,16.85,25.09116,18.1004,81.5,53.8,12.8,12.45,32.65,16.72905,19.0708,54.7,19.21053024,62.1,76.23580922,18.96107823,30.3
"1,225.56",18.858,83.42376,16.35,24.72752,18.00256,79.6,53.8,12.7,12.25,32.5,16.4866,19.02215,54.6,18.880128,62,76.23580922,18.82531872,29.7
"1,215.47",18.522,80.83296,16.2,24.5457,17.8558,80,52.9,12.6,12.25,31.75,16.43811,18.487,54.6,18.69132672,63.4,75.84385133,18.87057189,29.25
"1,213.40",18.522,81.1784,16.3,24.409335,17.80688,80.7,51.7,12.7,12.1,31.65,16.4866,18.487,54.7,18.69132672,64.7,76.33379869,18.37278702,29.75
"1,193.93",18.438,78.24216,16.25,23.591145,17.70904,79.7,50.5,12.5,11.95,31.1,16.316885,18.34105,54.1,18.50252544,63.5,73.39411453,18.28228068,28.7
"1,201.88",18.522,77.724,16.2,23.90933,17.8558,80,50.3,12.6,12.1,31.55,16.38962,18.2924,55.4,18.6441264,64.2,73.19813558,18.5537997,29.05
"1,182.97",18.354,73.83486376,16.1,23.318415,17.6112,77.5,49.7,12.35,12,30.9,16.09868,18.0005,54.5,18.6441264,65,72.02226192,18.32753385,28.75
"1,193.51",18.522,73.83486376,16.4,23.772965,17.80688,77.7,50,12.8,12.1,32.15,16.05019,18.04915,55.5,18.73852704,64.5,71.23834614,18.64430604,29.3
"1,190.32",18.48,73.32271442,16.2,23.81842,17.75796,78.4,49,13,12.15,31.8,15.880475,18.0005,56,18.73852704,65.8,71.43432509,18.82531872,29.5
"1,190.10",18.396,72.98128152,16.2,24.09115,17.70904,79,50.2,13.05,12,31.3,15.75925,17.6113,56.8,18.45532512,66.9,71.82628298,18.64430604,29.1
"1,247.82",19.068,73.40807264,17.15,25.54571,18.44284,82.1,53.9,14,12.85,32.35,16.82603,18.34105,61,19.54093248,71.9,72.12025139,20.04715431,30.6
"1,256.95",19.236,72.63984862,17.15,25.409345,18.5896,81.8,53.8,13.9,12.9,32.9,17.11697,18.5843,62.9,19.49373216,75.6,71.63030403,20.27342016,31.5
"1,241.24",19.194,71.70090816,17.05,25.409345,18.54068,82.4,54,13.9,12.95,31.5,16.510845,18.487,61.7,19.44653184,70.7,71.33633562,19.9113948,31.3
"1,243.43",19.362,70.50589302,17.15,25.591165,18.54068,82.2,54.2,13.75,12.95,31.9,16.38962,18.14645,61.2,19.54093248,73.3,71.92427245,19.86614163,30.3
"1,240.77",19.236,69.99374368,17.05,25.18207,18.49176,84.5,53.3,13.65,12.95,31.85,16.316885,18.14645,60.9,19.39933152,72.6,72.02226192,19.9113948,30.75
"1,226.20",19.236,70.16446013,17.2,24.863885,18.49176,83,52,13.8,12.95,30.55,16.24415,18.0005,60.6,19.49373216,67.9,71.63030403,19.86614163,30.05
"1,239.84",19.488,70.93268414,17.3,25.27298,18.73636,88,52.6,13.9,13.15,31.2,16.4866,18.34105,60.6,19.77693408,65.8,71.63030403,19.95664797,30.9
"1,247.81",19.656,71.87162461,17.35,24.72752,18.78528,89.2,53.6,14.1,13.25,29.8,16.4866,18.487,62.8,20.01293568,67,73.00215664,20.09240748,31
"1,250.68",19.95,72.12769928,17.35,25.045705,18.93204,88.2,53.8,13.7,13.45,30.05,16.656315,18.7789,62.9,20.20173696,63.9,73.39411453,20.49968601,29.6
"1,231.42",20.496,71.10340059,17.15,24.863885,18.5896,86.3,53,13.6,13.3,28.95,16.29264,18.43835,63,19.8241344,62.2,71.53231456,20.09240748,28.7
